Date,close,high,low,open,volume
2021-04-01,117.18568420410156,117.27942645776935,116.1545324172589,116.36758181163998,14885900
2021-04-05,116.67435455322266,116.72548431902831,115.84772199669533,116.36756295488776,8243000
2021-04-06,117.46691131591797,117.58621845698755,116.75958576404004,116.88742320315231,9282400
2021-04-07,116.64876556396484,117.68844726549158,116.64876556396484,117.13451124223648,11052700
2021-04-08,117.61178588867188,117.66292866752515,117.05786265104378,117.08342753871871,7847900
2021-04-09,117.18568420410156,117.76518531863967,116.82776278196174,117.17716690958743,8717800
2021-04-12,117.134521484375,117.20269883182154,116.83626021823329,117.14305177999296,7659000
2021-04-13,118.01229858398438,118.03786346706325,116.92148689428211,117.0067118402124,13232800
2021-04-14,117.63733673095703,117.80778663311014,117.23681587070239,117.6288194372501,7293200
2021-04-15,119.60588836669922,120.14276378790547,118.84743333987001,118.87299821690374,23896700
2021-04-16,118.67699432373047,119.07752810515895,118.395767647185,118.54065263493501,15238400
2021-04-19,118.3361587524414,118.7196450701084,118.07197957812643,118.23389920199776,13886800
2021-04-20,118.88153076171875,119.10309739227284,117.96967335218918,117.98672094023169,11476500
2021-04-21,119.12020111083984,119.23099098007191,118.51514798697038,118.91566896845123,11902200
2021-04-22,119.63999938964844,119.63999938964844,118.62588234439954,119.30764290455437,14156400
2021-04-23,119.35873413085938,119.70813809310006,118.8729885034124,119.63144346826583,12302200
2021-04-26,119.18830871582031,119.74223173068869,119.17979142452168,119.43544019846206,9103500
2021-04-27,118.14867401123047,119.1542739348166,118.05493175567162,118.95825912550961,14137300
2021-04-28,118.22533416748047,118.36168886367791,117.56915157359191,118.15715681938174,15263700
2021-04-29,117.8759536743164,117.91003584966235,116.8618366613905,117.1345330746601,17178200
2021-04-30,118.14867401123047,118.22536867391406,117.58622047787736,118.03788416279636,15692000
2021-05-03,118.21947479248047,119.18386098763425,118.01464283699369,118.37308899217035,16447700
2021-05-04,119.02169799804688,119.61910816126431,118.76566135022087,119.04730036057299,18639700
