Date,close,high,low,open,volume
2021-04-01,120.32898712158203,120.53472637427588,119.52319139884372,120.53472637427588,283600
2021-04-05,121.58909606933594,122.27488040681027,120.72330135492666,120.85188019559448,313300
2021-04-06,122.10343170166016,122.10343170166016,120.61185182063292,121.69196635112588,167300
2021-04-07,121.87197875976562,122.5320473083125,121.32335392311894,121.95770670434237,163900
2021-04-08,121.77769470214844,122.51491062197736,121.52910456790049,122.18059253509269,121900
2021-04-09,121.76053619384766,122.40345654348063,121.47766275062739,122.0691384848814,157000
2021-04-12,121.87197875976562,122.70349011721812,121.57195711424278,121.98342247166582,156400
2021-04-13,123.29496002197266,123.46640280459184,121.13474433628262,121.53764206957291,212500
2021-04-14,123.7835693359375,123.7835693359375,122.84062751632277,123.0463536179319,324700
2021-04-15,125.19805908203125,125.21520729177534,123.85220584252735,123.86935405227145,329300
2021-04-16,126.115234375,126.57814428845587,125.45517899063125,125.57519024962978,178200
2021-04-19,125.42949676513672,126.34672311554384,125.13802956085108,126.11526809692721,184600
2021-04-20,126.93820190429688,127.15250869848695,125.42948678208825,125.46377011384925,226100
2021-04-21,125.89237976074219,127.28966420079435,125.54091349001462,126.88676639391119,232000
2021-04-22,125.05232238769531,126.25243537250503,125.00945840675557,125.7466744060674,176600
2021-04-23,124.7865982055664,125.51523364338064,124.6580062481272,125.15519970700444,230800
2021-04-26,124.20364379882812,125.17231468396174,123.86075816386413,125.17231468396174,150900
2021-04-27,123.17497253417969,124.16935917759376,122.95208510154471,124.16935917759376,171200
2021-04-28,123.0121078491211,123.53501698409389,122.50634692126613,123.17498311611665,312100
2021-04-29,124.18649291992188,124.18649291992189,123.08924321535693,123.08924321535693,239000
2021-04-30,125.00086212158203,125.05229365479225,123.70644082797,124.26364629165815,116300
2021-05-03,125.01802062988281,126.2352817711153,124.93230575191572,125.26662386056232,294000
2021-05-04,124.60655212402344,125.12089370010023,123.80932398912937,125.12089370010023,142100
2021-05-05,122.49776458740234,124.66654840902535,121.89770814905296,124.66654840902535,139200
2021-05-06,123.5350112915039,123.55215949783154,122.06914703634162,123.00353461758782,160400
2021-05-07,123.87789916992188,124.68369483861174,123.44071800255253,123.61216082817292,96800
2021-05-10,124.98372650146484,126.1581235621708,124.19507905892335,124.19507905892335,172300
2021-05-11,123.5350112915039,124.7008407970529,122.68635166164691,124.7008407970529,303500
2021-05-12,120.54327392578125,123.33784271986326,120.5004230338028,123.24354721306452,212700
2021-05-13,122.94352722167969,123.53501610064428,120.63758389017974,120.67188030417012,176500
2021-05-14,123.50926971435547,124.29791699739908,123.19209990493744,123.19209990493744,526900
2021-05-17,122.44632720947266,124.01505451795843,122.32631592752423,123.37213413318142,253500
2021-05-18,122.42059326171875,122.7634919308305,121.9834121738789,122.3520135278964,149000
2021-05-19,122.24059295654297,122.2748762861496,120.78329638342775,121.84626272470345,264200
2021-05-20,123.18354034423828,123.86075712595282,122.29202985265336,122.46347266869871,351300
2021-05-21,123.75790405273438,124.21223348609792,122.90067673238794,123.34643860143832,296500
2021-05-24,123.65501403808594,124.51224117179885,123.6292982704944,124.26365105833123,145600
2021-05-25,122.11199188232422,123.80929779589427,121.93198152495528,123.80929779589427,126400
2021-05-26,122.26631927490234,122.72064864282225,121.90628542184784,122.23202286208821,153800
2021-05-27,121.43479919433594,122.58348041702615,121.43479919433594,122.58348041702615,162100
2021-05-28,122.07770538330078,122.48917069827111,121.78625133020707,122.12056935116668,116300
2021-06-01,121.5633773803711,122.54919642938154,121.19477599248097,122.54919642938154,176000
2021-06-02,122.13774108886719,122.7549457864731,121.2547980231741,121.76055898696909,122900
2021-06-03,122.90921783447266,123.21782009372357,121.2976268050238,121.58908086091449,99000
2021-06-04,122.66920471191406,123.3292601690446,122.58347676878788,123.15781736303988,91400
2021-06-07,123.02923583984375,123.1235313431227,122.65205382672794,122.87492816163848,133600
2021-06-08,122.11199188232422,123.22638967456092,121.57194772997053,123.17495814388408,164300
2021-06-09,123.192138671875,123.38071664042204,122.20631944766157,122.36919472437293,169400
2021-06-10,124.03221130371094,124.11792617946114,123.03782456721133,123.39785843796128,105100
2021-06-11,124.36651611328125,124.43509585470241,123.54357229647557,124.15220932643321,93400
2021-06-14,124.47797393798828,124.93230333118555,123.86933683904022,124.39224598143232,123800
2021-06-15,124.88082122802734,125.49802570528661,124.29791315519681,124.70081088563676,192200
2021-06-16,123.07213592529297,125.54952242359975,123.01212373275641,125.15519209046992,118000
2021-06-17,123.64645385742188,124.31509001521617,122.69493115898403,122.97781769962758,110200
2021-06-18,120.37183380126953,123.14925445234455,120.26039008704564,123.00352740772385,210600
2021-06-21,122.0072250366211,122.26626636044954,120.14214331552324,120.90199435198289,188300
2021-06-22,121.21286010742188,122.2403825069123,121.18695728856001,121.86908681090728,141200
2021-06-23,119.97811126708984,121.26467513016068,119.65863435947438,121.26467513016068,225800
2021-06-24,119.90901947021484,120.48753769812488,119.37367699745434,120.48753769812488,249900
2021-06-25,121.2732925415039,121.32509817790984,119.90039047518354,120.03854762252654,170600
2021-06-28,121.9726791381836,122.48213190590359,121.54959104557169,121.67910511976125,151500
2021-06-29,119.98673248291016,122.29217534811356,119.72769114600635,121.72228704200313,210600
2021-06-30,119.81401824951172,120.35800368850552,119.41683298880868,120.07305956214631,504100
2021-07-01,121.143798828125,121.54098422430837,119.71907771035518,120.05582757902933,142800
2021-07-02,121.31646728515625,121.54960582242929,120.75522199491856,121.54960582242929,112300
2021-07-06,121.76547241210938,121.7827321739805,119.83994175682868,121.31646827103599,208800
