Date,close,high,low,open,volume
2021-04-01,254.28646850585938,254.30591504193936,252.58396138376807,252.74933116386796,959200
2021-04-05,258.7617492675781,259.28707317595524,256.0669035280295,256.29067239303674,1034800
2021-04-06,259.0826721191406,260.3863026062919,258.275210360525,258.94648698523724,794600
2021-04-07,259.87066650390625,260.4057579518095,258.5281133621326,259.08265134492893,636500
2021-04-08,262.80877685546875,262.80877685546875,261.621884832114,261.758069981353,672500
2021-04-09,264.75439453125,264.8711330955465,261.62178106873347,262.03036604377115,698200
2021-04-12,264.75439453125,265.09487211399465,263.07133439101517,264.1511958001178,687600
2021-04-13,267.536865234375,267.90655728936196,265.591142578125,265.591142578125,877500
2021-04-14,264.70587158203125,267.9844099580417,264.3167329351811,267.76067082302507,900000
2021-04-15,268.8891906738281,269.04482237932683,266.91425342663706,267.0018370838712,1125100
2021-04-16,268.9669189453125,269.482534158836,267.65355047634034,269.482534158836,902700
2021-04-19,266.7196044921875,268.7431425301702,265.4062360606802,267.9454189868429,870300
2021-04-20,264.9004821777344,267.32289795871947,263.3730824048576,266.34029828365965,981500
2021-04-21,267.0115051269531,267.0504278921288,263.5189366090483,264.1221058671028,658500
2021-04-22,264.6377868652344,268.0914631646881,263.6065560023631,267.0115714109248,807200
2021-04-23,268.62646484375,269.346372725085,265.3576650361375,265.3576650361375,1473100
2021-04-26,269.9203796386719,270.2608573422736,268.23731890101254,268.94751833839103,653700
2021-04-27,269.3560485839844,270.55267842772025,268.6361408690382,270.55267842772025,707500
2021-04-28,268.75299072265625,270.12472900726,268.40277483180097,269.2686061326667,608400
2021-04-29,269.4436340332031,271.2823559820865,266.8850042851769,271.1948020353827,697300
2021-04-30,267.35198974609375,269.07394341895093,266.92392843373915,267.6243897003768,630900
2021-05-03,265.81494140625,268.72378760541596,265.6592800134372,268.6556801793025,835100
2021-05-04,261.826171875,264.2875098277123,258.76166465401866,264.13184845374434,1227500
2021-05-05,260.4446716308594,263.5675775562312,259.9387944793144,263.5675775562312,393000
2021-05-06,261.52459716796875,261.61215112739205,258.0612131114864,260.3571516635797,800800
2021-05-07,263.72320556640625,265.2700810276425,263.02274430278976,263.69402091747924,833500
2021-05-10,258.1876525878906,262.8281899040418,258.1195451772635,262.721159731718,908600
2021-05-11,257.4385986328125,258.01258334004444,252.97316802756663,253.43041410815832,1371100
2021-05-12,250.69662475585938,255.36634700804575,249.9961634490944,253.80005460353203,1456900
2021-05-13,252.5742645263672,254.67564865159713,250.73557197264904,252.8466645228207,901600
2021-05-14,257.75958251953125,258.31409083036954,254.7534153349931,255.16203009550426,554900
2021-05-17,256.25164794921875,256.83537063854385,254.16000219439235,256.62133997543697,678100
2021-05-18,254.63665771484375,257.88601026314456,254.59776464674312,257.0396258467988,639100
2021-05-19,254.7242889404297,254.84105724825625,250.42425815076436,250.89124231394874,752100
2021-05-20,259.1799621582031,259.89986996311427,255.72628700058618,255.72628700058618,664300
2021-05-21,257.9736633300781,260.76577072016227,257.8860796798639,260.2987865729691,1072600
2021-05-24,262.20556640625,262.9157658421191,259.6274899038591,259.71504385797385,547300
2021-05-25,262.70172119140625,263.8205056869503,262.00125990638725,263.3535512898504,555400
2021-05-26,263.29522705078125,263.78165775725455,262.7601354600361,263.09090477771304,585200
2021-05-27,262.8282165527344,264.00537043144095,262.56555468572844,263.51893977370105,631400
2021-05-28,263.5286560058594,264.89065579656574,263.3243634595956,264.05400938562065,1111200
2021-06-01,262.6141052246094,264.9587038375929,261.81635206546406,264.6960123618907,674500
2021-06-02,262.9059753417969,263.74265133001666,261.91366770352045,263.0130055017462,992700
2021-06-03,260.4544372558594,261.78725253175725,259.1216219799615,260.9506060362836,681200
2021-06-04,263.9859313964844,264.2583313849862,261.7678087217205,261.894285446627,581100
2021-06-07,264.4820556640625,264.6182704953623,263.3535626959488,263.83025522675734,765400
2021-06-08,264.7836608886719,266.495876509037,263.6356620436257,265.70786126748175,518700
2021-06-09,264.8420715332031,266.3110720690954,264.6669339160074,265.7565636309932,476700
2021-06-10,267.35198974609375,267.4395436932524,264.9003901575459,265.28952870804056,663100
2021-06-11,268.3443298339844,268.3929907145142,267.09906850874864,267.682791249503,752200
2021-06-14,270.66949462890625,270.7181258222105,267.9454946376592,268.8210639427476,657400
2021-06-15,269.1226806640625,270.6792649971301,268.7140657719988,270.6792649971301,898900
2021-06-16,268.1108093261719,270.19274650454093,265.62028707780235,269.31714769009136,806400
2021-06-17,271.4769287109375,272.0606514176774,267.371452915673,267.42985190678013,849400
2021-06-18,269.5408935546875,271.0488163815016,269.03501647167735,270.25109284470955,871300
2021-06-21,271.8369140625,272.03146850641065,268.03302286500787,269.96900732686146,727000
2021-06-22,274.66790771484375,274.96952202102796,271.7006927341704,272.08012287818394,696300
2021-06-23,274.8722229003906,275.6407619031914,274.3760541676854,274.6873768897502,619800
2021-06-24,276.29840087890625,277.4965873569847,275.8600211199309,276.6490809031077,647600
2021-06-25,276.7659606933594,277.24331478567035,275.8015609453013,277.14589376303206,489600
2021-06-28,279.00653076171875,279.02600307513876,277.3504625306107,277.43813253408496,669700
