Date,close,high,low,open,volume
2021-04-01,342.8114929199219,342.932546721314,340.82814289129186,340.9864505738166,5132000
2021-04-05,347.7560119628906,348.3147067148921,345.2791536815874,345.3536614705985,3764100
2021-04-06,347.5604553222656,348.5567624978824,347.01108118501344,347.355601540884,3583500
2021-04-07,347.998046875,348.3239260304865,347.0575780460864,347.44867281561557,2768900
2021-04-08,349.6927185058594,349.7020390817262,348.3053166884134,349.15266501698994,3949400
2021-04-09,352.2068786621094,352.346545237388,349.48791285897977,349.5717412205407,2627500
2021-04-12,352.3652038574219,352.5793498113324,351.117439946035,351.69477584645966,2747500
2021-04-13,353.3242492675781,353.9481027427071,351.8995934428725,352.3185931463787,2985500
2021-04-14,352.1882019042969,354.311218711796,351.69469448375855,353.3334960297864,3691100
2021-04-15,355.9686584472656,356.2014455006091,354.09704144514,354.1435874892533,3573800
2021-04-16,357.2164001464844,357.70058699635376,355.8755444215042,357.15121295042826,3252500
2021-04-19,355.4565124511719,356.71356823159675,354.1808439362447,356.27592743149,3945700
2021-04-20,352.84930419921875,354.9164543575545,351.480515196856,354.2925725550078,4106700
2021-04-21,356.16424560546875,356.3225533289506,352.10445241961213,352.2347984127213,3640100
2021-04-22,352.8958435058594,356.7414900779552,351.9367620066219,355.9965828923603,3965000
2021-04-23,356.6577453613281,357.9892806594843,353.33353898784,353.43598008114003,3781100
2021-04-26,357.4305419921875,357.97994444826014,356.9277424133239,357.3095165933868,3125200
2021-04-27,357.3188781738281,357.914826790116,356.36911703506263,357.7472268979328,3370600
2021-04-28,357.1512756347656,358.6504393252335,356.85330132883,357.65410372398276,3960400
2021-04-29,359.5350036621094,360.11231110421903,356.45290483428414,359.79572406875224,4209900
2021-04-30,357.16058349609375,358.26865231852173,356.3784222831551,357.47717052873134,5219200
2021-05-03,357.97064208984375,359.36736449054297,357.5236806917196,359.0135236024101,4180800
2021-05-04,355.7917785644531,356.5925524793557,352.39309288155425,356.18284494546407,5485600
2021-05-05,355.8569641113281,357.47715308647685,355.17721561135386,357.30023263328343,4410700
2021-05-06,358.7527770996094,358.83657702758217,354.0877155277427,355.940719767545,4737300
2021-05-07,361.3134765625,361.91871727899616,358.79936476611147,359.441859371491,3516600
2021-05-10,357.7751770019531,361.90015779048235,357.6448025798745,361.6673706793952,5942700
2021-05-11,354.6371765136719,355.4565916766242,350.9964111680006,353.6036153988535,7081500
2021-05-12,347.06689453125,353.15658357519465,346.50819990267445,352.0112894238235,7707400
2021-05-13,351.19189453125,352.95175003317416,348.4077702210254,348.4449956930429,7179100
2021-05-14,356.5833740234375,357.3655354512597,353.6595537280159,353.6595537280159,5167900
2021-05-17,355.7265930175781,356.39702094739414,353.83636305685116,355.60553918885705,3781600
2021-05-18,352.65380859375,356.1362941692155,352.47688814208175,355.9314404049886,3128300
2021-05-19,351.72271728515625,351.82512997567056,346.96453388804866,348.3053899409372,5086300
2021-05-20,355.4752502441406,356.62054467975406,352.39315107096905,352.5048843411366,4776700
2021-05-21,355.2051086425781,357.9799405370063,354.7767884227631,356.8439385846714,3567500
2021-05-24,358.7900695800781,359.7956972403171,357.0395062304111,357.27229330528405,2962500
2021-05-25,358.0358581542969,360.130941924257,357.50509677930614,359.7957137445394,4031800
2021-05-26,358.6875915527344,359.1904195392678,357.6260973771505,358.5758583149243,2642700
2021-05-27,358.8459777832031,360.149579870258,358.7901111520718,359.6840056665674,3015900
2021-05-28,359.5443420410156,360.6058364576213,359.36742156884895,360.38236993126105,3370100
2021-06-01,359.26495361328125,361.86286545361526,358.8459539076741,361.7511321987867,4389000
2021-06-02,359.87017822265625,360.57783155443445,358.92970941694887,359.84224491240695,3209200
2021-06-03,358.50140380859375,359.5256441704322,356.3504535825089,357.7192426733256,3391000
2021-06-04,361.7511291503906,362.0304622851082,360.13094013624436,360.17748618656657,2628100
2021-06-07,361.4439697265625,361.9281567755726,360.5873004991134,361.7698490080959,2500600
2021-06-08,361.499755859375,362.29120927128974,359.8329922561917,362.2167299020298,2386600
2021-06-09,360.931640625,362.3376834218945,360.7361074704844,362.29110896465704,2968100
2021-06-10,362.5984802246094,363.4830541020072,360.89446284107504,362.0863315853231,2611800
2021-06-11,363.231689453125,363.3341305574593,361.9653412219038,363.1478895039761,2241500
2021-06-14,364.1441955566406,364.1441955566406,362.2167116336686,363.3433931914147,2252200
2021-06-15,363.38055419921875,364.26515628067176,362.59839318759026,364.21858182479315,2405000
2021-06-16,361.38787841796875,363.68781538050564,359.4417822829584,363.53885668970145,4194300
2021-06-17,361.25762939453125,362.1329111238893,358.95769181485946,360.931721786129,4065300
2021-06-18,356.46221923828125,358.8459567481342,356.18285768260614,358.29658262995014,5211100
2021-06-21,361.4532165527344,361.63945761859384,357.2351150002301,358.02659690553736,4389800
2021-06-22,363.3713073730469,364.1627891197639,360.79203678444725,361.5090107531909,2705400
2021-06-23,362.9802551269531,364.2093777638419,362.8685218720346,363.47376261377167,2404200
2021-06-24,365.0567321777344,365.49437307836365,364.70291964259144,364.9077734347242,2987800
2021-06-25,366.4068298339844,366.797924595214,365.51293548653103,365.8481352106802,2862800
2021-06-28,367.1704406738281,367.2914945113849,365.7830102469009,366.90039968361634,2418500
2021-06-29,367.3320617675781,368.06081992483354,366.8649083715739,367.5095823390822,2927600
2021-06-30,367.6683654785156,368.23830739705716,366.9209315172045,366.9209315172045,3795900
2021-07-01,369.7425842285156,369.84537280881074,368.3130958864639,368.39718008155137,3414500
2021-07-02,372.5548095703125,372.83509018494044,370.4806474837296,370.7796324811852,4363100
2021-07-06,371.85406494140625,372.7790194461918,369.33142545754697,372.5734708325975,4331300
2021-07-07,373.13409423828125,373.40505118811177,370.6208067185757,372.4800965998236,4747800
2021-07-08,370.1629638671875,370.80763775399083,367.20119916167226,368.3037027079361,5817100
2021-07-09,374.06842041015625,374.3300251816569,371.3122323734138,371.5084288238439,3332200
2021-07-12,375.423095703125,375.6192921112173,373.60118637537005,374.0029313819128,2929200
2021-07-13,374.1524963378906,376.0584902097373,373.89089157216904,374.7317619967899,4313100
2021-07-14,374.6663513183594,376.1238675376814,373.5545240274591,375.64736198078737,3332200
2021-07-15,373.4610900878906,374.0777359558998,371.67656079852594,373.479765958032,4483900
2021-07-16,370.5553894042969,374.54489750698303,370.1162926005421,374.50751725310494,4516600
2021-07-19,365.01495361328125,366.491174242875,362.44561005524156,366.042696739053,12336200
2021-07-20,370.1723327636719,371.3869200909334,364.38897190312036,365.6409394826482,4043100
2021-07-21,373.2835998535156,373.367684045151,371.1720573320675,371.3682822919979,2996600
2021-07-22,374.0776672363281,374.2458355750432,372.50803904944024,373.45166929185723,2575700
2021-07-23,377.8149719238281,378.16066086275737,375.1988958898708,375.75016196915635,3151900
2021-07-26,378.77728271484375,378.7866349059338,377.29173848319545,377.38517485576244,2374300
2021-07-27,377.0955810546875,377.8804239145305,374.47018103838917,377.8804239145305,3626100
2021-07-28,376.8900146484375,378.1700103375601,375.62869482976794,377.61877277501424,3763700
2021-07-29,378.5156555175781,379.44996216224905,377.78689747524584,377.79622115300486,2274200
2021-07-30,376.665771484375,377.9551193988146,376.0304497190158,376.1425619702227,5204500
2021-08-02,375.8996276855469,378.7305760389845,375.5352628743573,378.1886906616735,5814700
2021-08-03,378.9361267089844,379.0108872176381,374.58228225802816,376.60035978720197,4129600
2021-08-04,377.1235656738281,378.26339246226195,376.8432565594322,377.7495351883687,3880200
2021-08-05,379.47802734375,379.506055405321,377.81496249405643,378.1139474926658,3052800
2021-08-06,380.1320495605469,380.4310345785121,379.4874041026816,379.7396566731506,2486900
2021-08-09,379.76763916015625,380.30952449150277,379.0388810868131,380.02924389128515,1984400
2021-08-10,380.24407958984375,380.8887533727438,379.5433496964978,380.17867129006606,2400700
2021-08-11,381.1598205566406,381.2626091384093,380.17880975377443,381.19720081480943,3554400
2021-08-12,382.2715759277344,382.4397442886112,380.23479418970834,381.02896057755225,2319300
2021-08-13,383.0283203125,383.0283203125,382.29956231536113,382.72936387445463,2253800
2021-08-16,383.9440002441406,384.0094085566613,380.4029698429831,381.8604860240781,3379100
2021-08-17,381.4119873046875,382.1780970343688,378.68379953197166,381.58015564685354,5186300
2021-08-18,377.31036376953125,381.8978124736219,377.0300832021831,380.46832455459855,4878300
2021-08-19,377.84295654296875,378.90805129956595,374.5915591295288,374.7410516153764,5505700
2021-08-20,380.83270263671875,381.12236391682694,377.7027983114868,378.0951911195238,3263600
2021-08-23,384.20562744140625,385.0091175698209,382.34636611090014,382.3650419815216,3259400
2021-08-24,384.8128967285156,385.2706978883328,384.32706750815413,384.84092478906,3006500
2021-08-25,385.52301025390625,386.0648956393624,384.62608373087056,384.9904485475369,3261400
2021-08-26,383.2713317871094,385.55104263128743,383.2526559159468,385.3174659342428,4707600
2021-08-27,386.672119140625,387.1112443869413,384.01869179516433,384.08410010079706,3882200
