כניסה,יציאה,רווח ($),כמות X,כמות Y,IV X,HV X,Beta X
2025-02-21,2025-03-26,87839.04,14798.82,35201.18,0.25,0.318,1.01
2025-04-02,2025-04-23,-19046.87,14798.82,35201.18,0.25,0.318,1.01
