זוג,Z-Score,Correlation,Beta,Action,Timestamp
AXP-XLU,0.52,0.32,2.87,Short on high / Long on low,2025-06-14 19:29:54.528317
RIOT-VOO,-1.13,0.78,0.05,Long on high / Short on low,2025-06-14 21:40:10.396514
