sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total,label_rank,is_clone_like
IWF,IWD,thematic_factor,0.7885543819049549,0.055418104406828,78.36428000127188,0.2878106124175737,0.4208469432063469,0.1928241416820817,0.4507725774078057,0.5174496644295302,0.4825503355704698,1491.0,1.53654739491961,-2.14461552046716,False,0.9145953480290808,B+,0.5733880211138604,0.344581895593172,0.0,0.0,0.25,0.0,4,False
IWB,IWD,us_core_style,0.92780063558373,0.0462764795898775,75.44343734234187,0.2915764804430628,0.4248071560493064,0.1041813752387489,0.2362642728777828,0.5181208053691275,0.4818791946308725,1491.0,1.2970808340912885,-1.060682570180406,False,0.8718226685071073,B,0.5842162042200216,0.3537235204101224,0.0,0.0,0.1,0.0,3,False
XLE,XES,commodities,0.8938322294300064,0.0258640387663472,83.31710928980615,0.2569626421322906,0.3915504292728505,0.2325321777392744,0.5203413354006274,0.5040268456375839,0.4959731543624161,1491.0,0.9452339242052352,-0.4035060504656038,False,0.8225362887788306,B,0.5206411159152735,0.3741359612336528,0.0,0.0,0.1,0.0,3,False
GDX,GDXJ,commodities,0.9645745566262086,0.1089239240241882,77.15693463727713,0.2821525018366601,0.4238019581427639,0.1119139631298195,0.2284663501950854,0.5080536912751678,0.4919463087248322,1491.0,0.8980427919045215,0.1400687804021956,False,0.7779977987157615,B,0.5742445455326932,0.2910760759758117,0.0,0.0,0.0,0.0,3,False
IBIT,WGMI,crypto,0.61843503078013,0.4313205773851808,80.75457136228492,0.2579400716232022,0.3894690098062603,0.3991310576966784,0.6706450631964831,0.4968553459119497,0.5031446540880503,478.0,0.4226751726684009,2.5290399340245595,False,0.7771554772236547,B,0.5171554772236547,0.2,0.0,0.0,0.3,0.0,3,False
XLK,XLC,us_sectors_rotation,0.8331417608691915,0.365983281570134,202.3096495780921,0.3272221830582867,0.501444235856605,0.1567793892147919,0.3072494770068328,0.4966442953020134,0.5033557046979866,1491.0,1.0925827639132215,-0.2799693012460116,False,0.7720881586177736,B,0.6720881586177736,0.0,0.0,0.0,0.25,0.0,3,False
XLV,XLF,us_sectors_rotation,0.6975389313270636,0.0299365536981424,69.09341086254564,0.2037881307607024,0.3060739470215633,0.1315259295322689,0.2608646593521726,0.5100671140939598,0.4899328859060403,1491.0,0.4527349007637011,3.22824529717216,False,0.7718670129000536,B,0.4128226004887533,0.3700634463018575,0.0,0.0,0.25,0.0,3,False
SOYB,CORN,commodities,0.6738208788216322,0.1305951913294528,89.32977989790271,0.2585906916556655,0.40242184726828,0.1443585155157691,0.2218512338162623,0.5033557046979866,0.4953020134228187,1491.0,0.8394906322916912,0.6147449543594816,False,0.7644323261365193,B,0.5358489600671363,0.2694048086705471,0.0,0.0,0.1,0.0,3,False
XLB,XLE,us_sectors_rotation,0.6805627206959246,0.0882454620891572,96.02675760070623,0.2224502991953422,0.3312072217642411,0.1771361598932175,0.4090189747680122,0.5154362416107383,0.4838926174496644,1491.0,0.3375589341223136,2.488116335806132,False,0.7643431514725406,B,0.4461149749349507,0.3117545379108428,0.0,0.0,0.25,0.0,3,False
RIOT,MARA,crypto,0.8324609235847997,0.1524319545986618,104.48793825388628,0.1955382044540335,0.3119096537165461,0.6083642759778352,1.5965246479413155,0.4677852348993289,0.5322147651006711,1491.0,0.7463412592911867,0.4757306490189554,True,0.7182839222576155,B,0.3849862904766787,0.2475680454013381,0.0,0.0,0.4,0.0,3,False
MTUM,VLUE,thematic_factor,0.7627075913444835,0.136964327218048,108.52010019521536,0.2176563804246762,0.296726147944285,0.1756633713149499,0.4193693446010851,0.5335570469798657,0.4664429530201342,1491.0,1.163355708482931,-0.2079557429095633,False,0.7011022680410204,B,0.416977297093654,0.2630356727819519,0.0,0.0,0.25,0.0,3,False
