sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total
IBIT,ETHA,crypto,0.792280840873522,0.26041656175646977,62.183817360155935,0.8847460912220917,1.5240756688667636,0.3012134437344411,0.3111742863793294,0.4956521739130435,0.5043478260869565,346.0,0.4278358714118208,2.6230170287670025,False,2.2396612879869537,A+,1.9453755737012395,0.2,0.0,0.0,0.4,0.005714285714285714
MSTR,BITO,crypto,0.771958578604793,0.8323705914038966,645.2597105455055,1.0861096947997446,1.5430678258914845,0.6645785979706128,0.6511704894649313,0.5366795366795367,0.46332046332046334,1037.0,1.7766900660736822,-0.8752379761730191,False,1.9165566561243383,A,2.156556656124338,0.0,0.0,0.0,0.4,0.4
DBC,USO,commodities,0.8256523548175939,6.382229984948179e-05,78.33351762891442,0.7059515801091197,0.9935323811724196,0.1394350125314553,0.2632957875822397,0.5268456375838926,0.47315436241610737,1491.0,0.5732193890489605,0.6733119892811676,False,1.716113655568274,A,1.3961583311781687,0.39993617770015055,0.0,0.0,0.1,0.0
DBA,COW,commodities,0.4442396693184802,0.004196737676514364,38.434083591456194,0.557759084474102,0.7924804433891296,0.24133443481865033,0.28077078887177187,0.5207166853303471,0.47928331466965285,894.0,1.3522548383969848,-1.985677173556052,False,1.3839422626954974,A-,1.1068799790690573,0.39580326232348567,0.0,0.0,0.0,0.0
IBIT,BITO,crypto,0.9520105635798506,0.18624267790760918,52.00608075700478,0.47251994352325083,0.7738917585984941,0.6066879921841486,0.48267682529117106,0.4947589098532495,0.5052410901467506,478.0,-0.19251251590021254,4.421718826337704,True,1.2772542034619674,A-,1.0076240779972938,0.21375732209239084,0.0,0.0,0.3,0.0
XHB,VNQ,thematic_factor,0.7543634654569565,0.6214141593050004,453.78437295489323,0.6992717198745118,1.0443808580147884,0.21146111881448873,0.3632502868775562,0.5140939597315436,0.48590604026845635,1491.0,0.9305076486461297,0.13278720271185573,False,1.1230733147473124,B+,1.4230733147473125,0.0,0.0,0.0,0.25,0.4
IBIT,BKCH,crypto,0.6758288707582921,0.39863793365253697,81.35261669259896,0.37215673051461784,0.5651133478022305,0.38383165283473114,0.5687838516189996,0.5010482180293501,0.4989517819706499,478.0,0.5764126991896861,1.5519120466283094,False,1.0563603969437994,B+,0.7563603969437992,0.2,0.0,0.0,0.4,0.0
GLD,TIP,fx_macro,0.34028305678662313,0.9681782459752154,inf,0.7307958651809295,1.0458635359078992,0.21107697309573573,0.4996604651361176,0.538255033557047,0.46174496644295304,1491.0,-1.2830500411375467,11.362100880816332,False,1.0529071310137366,B+,1.4529071310137365,0.0,0.0,0.0,0.0,0.4
SLV,SILJ,commodities,0.7569552578245868,0.2962926663773786,147.92695556390848,0.44911362652882686,0.5822436893584114,0.2340119846479669,0.3821615700387282,0.5040268456375839,0.4959731543624161,1491.0,0.7192368658680426,1.3558210293666213,False,1.0290409776789402,B+,0.8490409776789403,0.2,0.0,0.0,0.1,0.0
VIG,DVY,thematic_factor,0.8811868172866173,0.3290941379851017,169.4990457184416,0.4647544894538283,0.6661364246362977,0.1012619818775985,0.2975549055122553,0.5201342281879194,0.4798657718120805,1491.0,0.9796979963123498,0.4283550924692383,False,1.0250988885889916,B+,0.9250988885889916,0.0,0.0,0.0,0.25,0.0
