sym_x,sym_y,corr,p_value,half_life,vol_zscore,quality,n_obs,beta,intercept,start,end,quality_stat,quality_ts_score,quality_hf,spread_sharpe,spread_sortino,spread_max_dd,spread_vol,spread_pos_ratio,spread_neg_ratio,seed_priority,seed_category,pair_score,is_clone_like
DIA,SPY,0.8971099667969199,0.0228900603055112,22.36699168000836,inf,0.1115315810489359,747,1.9789334156886185,-259.7762646951697,2022-12-07T00:00:00,2025-11-28T00:00:00,0.0,0.0,0.4647149210372332,0.1685236970594699,0.2434331887473111,64.97504470660454,49.62340357902404,0.5207496653279786,0.4792503346720214,,index,84.0970813072744,False
DIA,VOO,0.8971893399613508,0.020344628623187,21.241003515547103,inf,0.1118404813968474,749,1.8204753239888816,-238.4403631482666,2022-12-07T00:00:00,2025-12-02T00:00:00,0.0,0.0,0.4660020058201978,0.174134762430839,0.2481461055069413,60.03416476596459,46.17762590593993,0.5180240320427236,0.4819759679572764,,,76.90578122348019,False
DIA,VTI,0.9032148509056248,0.0267544432075415,20.702649702786715,inf,0.1137718641430632,749,0.9139003310463508,-99.92463575620224,2022-12-07T00:00:00,2025-12-02T00:00:00,0.0,0.0,0.4740494339294304,0.1759824937262429,0.2516456690200589,25.287941194067344,21.47106227724409,0.507343124165554,0.4926568758344459,,,68.13364173438937,False
HYG,SPY,0.7034949796272839,0.0166560597817224,19.60610157750107,inf,0.1115499567870564,747,35.07805904177738,-2198.1797269746467,2022-12-07T00:00:00,2025-11-28T00:00:00,0.0,0.0,0.4647914866127352,0.2021908048631961,0.3060177218447425,165.0898436973484,130.2472507762268,0.4953145917001338,0.5046854082998661,,other,39.960816144858384,False
HYG,VOO,0.7002600858299786,0.0173570999337761,19.487913642296625,inf,0.1125090437332301,749,32.34022262719694,-2026.994688887292,2022-12-07T00:00:00,2025-12-02T00:00:00,0.0,0.0,0.4687876822217924,0.2248356950568012,0.3400126458039118,152.19277138353317,121.09576122278764,0.4939919893190921,0.5060080106809078,,,34.988881436422396,False
HYG,VTI,0.7143241539224211,0.018777405321463,19.8858120190994,inf,0.1137061599055204,749,16.2604020747169,-999.75216098794,2022-12-07T00:00:00,2025-12-02T00:00:00,0.0,0.0,0.4737756662730017,0.2271094959575839,0.3450829536138313,72.994076780256,58.81984811305889,0.4873164218958611,0.5113484646194927,,,32.216502946151785,False
FXA,VEU,0.713009001376774,0.0462845189499502,152.206747407058,inf,0.1324282813206826,749,-0.559535398055747,95.43718694278118,2022-12-07T00:00:00,2025-12-02T00:00:00,0.0,0.0,0.5517845055028444,0.6533770264098208,0.92602558372149,14.683144252809804,11.080866270648931,0.5393858477970628,0.4606141522029373,,,21.87216422382905,False
FXA,VEA,0.7018312794263066,0.0472068624680897,142.87103047452948,inf,0.1336871794166833,749,-0.4509296811123719,79.16379969193515,2022-12-07T00:00:00,2025-12-02T00:00:00,0.0,0.0,0.5570299142361804,0.6678376171984332,0.9500846752925844,11.837096915048242,9.383577530713064,0.5327102803738317,0.4672897196261682,,,17.040733325884037,False
