date,open,high,low,close,volume
2024-12-11,186.1514233709292,188.5591523340965,185.8230946239389,187.68360900878906,2438600
2024-12-12,186.76825705992286,187.29556873480817,184.70874471424014,184.74855041503906,2141900
2024-12-13,186.44989201152154,187.07670282364998,183.11688533285604,184.4799346923828,2494500
2024-12-16,185.97231374934984,187.6039983418394,185.2460191002622,186.6986083984375,6451400
2024-12-17,184.21128845214844,185.1266374367721,183.03727830721,184.21128845214844,3083100
2024-12-18,183.95261540652274,186.19120800769642,167.33728669187462,167.87454223632812,4801400
2024-12-19,172.00350138923537,173.47599352243716,167.32731829490058,167.516357421875,4162000
2024-12-20,165.28773469520877,177.30649156683742,164.56142482530956,173.05813598632812,4783800
2024-12-23,173.07906547205846,176.99637774460015,170.2283039273157,176.53785705566406,7031100
2024-12-24,177.49475891372143,182.15963305051716,176.99637414477337,182.04998779296875,2183200
2024-12-26,180.48506928140222,183.19626845809125,179.2291299173701,182.05995178222656,2446700
2024-12-27,178.47158352776333,178.7506777733664,172.38132122282596,176.3185577392578,4005300
2024-12-30,169.87941946355744,173.23854303839767,166.75954125486925,170.1884307861328,3726900
2024-12-31,171.5340620835363,172.1121902270302,166.76950502144396,168.15501403808594,3802500
2025-01-02,170.97588483544283,172.48100142577823,163.2907998911946,166.76951599121094,5967200
2025-01-03,169.18169587519088,173.48774774405328,168.21482816971476,172.8099365234375,7668000
2025-01-06,176.66743438806958,179.70756924249727,174.34495959200663,175.89991760253906,3588000
2025-01-07,177.6343087965187,177.97320679438207,168.2347639993929,169.97911071777344,4255700
2025-01-08,169.83956591778016,171.44436552907757,166.81935534644043,170.41769409179688,4246400
2025-01-10,167.18815093321223,167.2080905827007,160.8586734705335,162.56314086914062,7967500
2025-01-13,158.46642036721465,163.47020781634973,158.12752236714283,163.26087951660156,3609100
2025-01-14,165.6630983780359,166.20136245953424,160.61944682127333,163.6894989013672,3542200
2025-01-15,170.69678119292274,173.66715011940204,169.7000116677086,172.59063720703125,2980000
2025-01-16,173.80669796109765,174.0558903434285,171.0556195355834,171.74339294433594,2327800
2025-01-17,176.05941192640202,178.15261887285874,174.8533140688393,176.53785705566406,2967800
2025-01-21,179.34873006818705,181.35224651104645,177.5744815627416,181.2525634765625,4732500
2025-01-22,183.9139446824498,185.60846508953728,183.48534107537222,184.1930389404297,2074800
2025-01-23,183.73452750410604,187.29298678267926,183.5052747730933,187.2232208251953,1996100
2025-01-24,187.2232277499683,188.11035204747725,184.3924058578606,185.38917541503906,2318400
2025-01-27,173.37809585721237,177.84361912838068,173.20864686090758,177.62432861328125,3714300
2025-01-28,178.5912052017282,182.79757407855038,175.6806398308057,181.93038940429688,2542500
2025-01-29,181.21270155834318,181.6413051508659,177.2455631322086,179.64776611328125,2515300
2025-01-30,181.46190602707975,183.8242450769585,178.57126510430928,182.43873596191406,2688300
2025-01-31,184.6017129657307,186.77467843890528,178.68089955442886,179.39857482910156,3513600
2025-02-03,171.07556051913178,177.88349828264919,169.15178740359508,175.58094787597656,4077300
