date,open,high,low,close,volume
2024-12-11,410.84160924665485,415.3920991169135,410.84160924665485,414.97296142578125,1285100
2024-12-12,413.53594342815643,414.61370861335246,412.2686024227331,412.4082946777344,989000
2024-12-13,414.7434306702222,416.0906219854746,411.18089733275485,413.1767272949219,848900
2024-12-16,415.13265567322895,418.6552945380674,414.36427205764045,418.0665283203125,3693600
2024-12-17,416.254465116911,417.63296397567825,414.4663704982553,416.634033203125,1384900
2024-12-18,416.5141532896286,418.24231444638036,401.48025782946195,402.5091552734375,2054100
2024-12-19,407.0842570545344,407.44388798447153,402.3493349524886,402.54913330078125,1697500
2024-12-20,400.0917238838249,411.04002660310556,398.88302623969713,406.8944396972656,2709900
2024-12-23,408.01327853970355,411.2298367859915,405.21625413839604,411.01007080078125,1404000
2024-12-24,411.9490785755754,416.2944030761719,411.82918127474164,416.2944030761719,601900
2024-12-26,415.1755834651219,416.8338121284858,413.1677229506665,415.675048828125,1175900
2024-12-27,413.08784409624053,413.2177099751889,406.0253961676082,409.6515197753906,1483200
2024-12-30,403.6379575195642,407.7235806496275,401.8298952916742,404.7667541503906,1793700
2024-12-31,405.8555901127063,406.17522478978486,400.391437594419,401.1506042480469,944000
2025-01-02,402.77886988936837,405.2761968308204,396.5355525357382,400.2416076660156,1395000
2025-01-03,402.5691070912133,407.27406256138215,402.1695408734722,406.77459716796875,1187000
2025-01-06,411.0799687662982,414.2266249976262,409.6415060562474,411.5195007324219,2955600
2025-01-07,412.5983550527914,412.9379878409851,402.1195510212571,403.3582458496094,1286700
2025-01-08,404.2073635927262,405.4659956399721,400.54127423361206,403.9476318359375,1631400
2025-01-10,401.2604970872396,401.4203296661029,394.8973130606748,397.7242736816406,1380500
2025-01-13,392.4599239902792,396.5855129289974,391.3810616920701,396.2458801269531,2073600
2025-01-14,399.0528731035239,399.4824060162229,392.4798915961656,394.8773193359375,924700
2025-01-15,400.78098423292823,405.15630564880865,399.7421182369249,404.467041015625,2776000
2025-01-16,406.18520740953505,406.18520740953505,401.39035211303553,401.6200866699219,3373800
2025-01-17,407.7135927838076,408.30295828729373,404.82669867453143,406.54486083984375,1859300
2025-01-21,408.3628734389869,409.74140273481106,405.17628194645056,409.3218688964844,1845900
2025-01-22,413.0978249248287,416.51415096891975,412.9779581141514,415.16558837890625,728200
2025-01-23,413.42745299343636,417.0435773291079,413.2975871219985,416.8138427734375,1455600
2025-01-24,417.83274057819034,418.5519719163944,413.88695203798324,415.04571533203125,759400
2025-01-27,400.16165818858826,406.1152768142571,399.65219376019365,403.2183837890625,3156100
2025-01-28,404.6668480788194,412.7182273886624,402.3493214501689,412.0589294433594,2134000
2025-01-29,410.6803998238264,410.76033135437723,406.2052096312775,409.1220703125,1167200
2025-01-30,409.68146891788257,412.10886329203225,405.8355794840343,410.29083251953125,2375800
2025-01-31,413.6172660578867,416.01469377336895,407.9533457474928,408.8723449707031,1113500
2025-02-03,400.84094502484936,407.0842624295804,399.37251555185867,404.60693359375,1108800
2025-02-04,405.2961873974369,409.87127685546875,405.0863899891053,409.87127685546875,2050300
2025-02-05,407.284039456994,410.2508649517908,406.1252761491496,410.0610656738281,1017100
2025-02-06,410.5705419516417,412.698269350774,409.7214447075585,412.43853759765625,1434100
2025-02-07,412.4585013390673,414.43639520229783,407.1142157197167,407.6736145019531,1135000
2025-02-10,410.54058368585925,412.878078057118,410.051086873004,411.8192138671875,738800
2025-02-11,409.6315410057009,412.10886976160504,409.04217551990286,410.6104736328125,1009400
2025-02-12,406.19521479277967,411.0200368905319,405.5958502472028,410.1809387207031,1153800
2025-02-13,410.63047252814016,415.6151272374196,410.1010404477053,415.3154602050781,962600
2025-02-14,415.31547154345475,416.4642358453888,414.4164094519907,415.9248046875,698500
2025-02-18,417.0935548195097,417.5930201956218,413.3175977954998,415.88482666015625,867900
2025-02-19,415.0357677153145,416.7239631571233,413.2077073327888,416.0346984863281,725600
2025-02-20,415.4552990946304,415.4552990946304,410.4806433949602,413.8370361328125,834000
2025-02-21,413.92692547829313,414.28655639653715,404.13741642920974,404.44708251953125,1274200
2025-02-24,405.95547595965934,407.3339747663672,399.75209414721377,400.3114929199219,1061900
2025-02-25,399.5922661535205,400.06176482367135,392.26011813399737,396.2958068847656,2863300
2025-02-26,398.0339306582281,402.0895869885125,395.5166361899315,397.7442626953125,1304200
2025-02-27,400.6611438932706,401.42034104315127,387.03574387219334,387.1855773925781,1275100
2025-02-28,386.6061581034721,394.4477703894509,383.97899590483445,394.1780700683594,1588800
2025-03-03,395.3867905907055,396.735353244098,381.52162645172706,384.448486328125,2735300
2025-03-04,380.29296447552707,388.34434421532137,375.5280450902376,381.9711608886719,2208600
2025-03-05,382.3807051857645,388.7039233348487,379.20408227492607,387.6250915527344,2449200
2025-03-06,380.6225956134851,385.05785073563396,375.05854382721543,376.8366394042969,2486200
2025-03-07,375.62792377703965,379.89334704902103,369.53444018496145,378.4449157714844,1536100
2025-03-10,371.38248332640273,371.51234920509984,359.99467855722924,363.4909362792969,1807400
2025-03-11,362.3221576194668,367.89620818100497,358.92579922436096,362.5918884277344,3128800
2025-03-12,369.0250074383449,370.4334729551984,363.0413915751027,367.526611328125,2405900
2025-03-13,366.807378586453,367.1070456133832,358.55620094891214,359.68499755859375,1476100
2025-03-14,363.940418565738,369.33466888262564,363.2911196898005,368.80523681640625,1164700
2025-03-17,368.5555130542969,372.4013720605991,366.7374517697139,369.9540100097656,1173500
2025-03-18,367.42999267578125,367.510009765625,361.7900085449219,363.4599914550781,1369000
2025-03-19,365.3399963378906,372.4200134277344,364.20001220703125,369.0400085449219,6048400
2025-03-20,366.0400085449219,372.6499938964844,365.79998779296875,368.20001220703125,999600
2025-03-21,364.6099853515625,370.5199890136719,363.6499938964844,369.8999938964844,1968000
2025-03-24,375.5299987792969,379.010009765625,374.9200134277344,377.95001220703125,1317000
2025-03-25,379.0799865722656,380.5199890136719,378.07000732421875,380.260009765625,947900
2025-03-26,379.0299987792969,379.239990234375,370.7200012207031,372.0400085449219,1191300
2025-03-27,370.239990234375,373.7300109863281,368.7300109863281,370.07000732421875,1125600
2025-03-28,368.3399963378906,369.55999755859375,359.739990234375,360.5400085449219,2498200
2025-03-31,354.489990234375,361.75,351.0299987792969,361.0899963378906,2083800
2025-04-01,359.44000244140625,365.0799865722656,357.8599853515625,363.8800048828125,1383200
2025-04-02,358.7099914550781,369.5799865722656,358.44000244140625,366.8599853515625,1198300
2025-04-03,350.0400085449219,352.80999755859375,345.8599853515625,346.45001220703125,2610300
2025-04-04,335.5899963378906,337.92999267578125,325.6600036621094,325.6700134277344,4863500
2025-04-07,312.54998779296875,340.239990234375,308.6700134277344,326.0299987792969,5243500
2025-04-08,338.9800109863281,342.0199890136719,315.57000732421875,320.4200134277344,4813400
2025-04-09,320.1300048828125,359.7300109863281,319.2799987792969,357.6600036621094,3311400
